ordernumber,sales_channel,warehousecode,procureddate,orderdate,shipdate,deliverydate,currencycode,salesteamid,customerid,storeid,productid,order_quantity,discount_applied,unit_price,unit_cost,order_total,order_discount,grand_total
SO - 0003031,Online,WARE-PUJ1005,2019-02-04,2019-05-09,2019-05-29,2019-06-02,USD,17,47,263,6,2,0.15,254.6,180.766,509.2,76.38,432.82
SO - 0003032,In-Store,WARE-MKL1006,2019-02-04,2019-05-09,2019-05-21,2019-05-24,USD,4,10,357,21,4,0.15,1788.9,948.117,7155.6,1073.34,6082.26
SO - 0003033,In-Store,WARE-MKL1006,2019-02-04,2019-05-10,2019-06-03,2019-06-08,USD,6,47,362,40,6,0.1,2499.1,1124.595,14994.599999999999,1499.46,13495.14
SO - 0003034,Online,WARE-NMK1003,2019-02-04,2019-05-10,2019-06-05,2019-06-09,USD,14,28,192,29,7,0.05,3195.9,2588.679,22371.3,1118.565,21252.735
SO - 0003035,Wholesale,WARE-NMK1003,2019-02-04,2019-05-10,2019-05-12,2019-05-15,USD,26,42,136,36,5,0.075,4006.6,1843.036,20033.0,1502.475,18530.525
SO - 0003036,In-Store,WARE-PUJ1005,2019-02-04,2019-05-10,2019-05-14,2019-05-17,USD,1,31,327,35,5,0.15,194.3,104.922,971.5,145.725,825.775
SO - 0003037,In-Store,WARE-PUJ1005,2019-02-04,2019-05-10,2019-05-17,2019-05-22,USD,7,25,306,28,1,0.3,1018.4,407.36,1018.4,305.52,712.88
SO - 0003038,Online,WARE-NMK1003,2019-02-04,2019-05-10,2019-05-31,2019-06-01,USD,17,27,163,39,1,0.15,174.20000000000002,97.55200000000002,174.20000000000002,26.130000000000003,148.07000000000002
SO - 0003039,In-Store,WARE-NMK1003,2019-02-04,2019-05-10,2019-05-19,2019-05-23,USD,9,9,182,8,5,0.05,1125.6,731.6400000000001,5628.0,281.40000000000003,5346.6
SO - 0003040,Wholesale,WARE-XYS1001,2019-02-04,2019-05-11,2019-06-05,2019-06-08,USD,26,48,46,28,1,0.2,2854.2000000000003,2426.07,2854.2000000000003,570.84,2283.36
SO - 0003041,In-Store,WARE-UHY1004,2019-02-04,2019-05-11,2019-05-22,2019-05-24,USD,8,31,206,46,1,0.075,3383.5,2131.605,3383.5,253.7625,3129.7375
SO - 0003042,In-Store,WARE-NBV1002,2019-02-04,2019-05-11,2019-05-15,2019-05-22,USD,12,5,81,4,1,0.15,3035.1,2215.623,3035.1,455.265,2579.835
SO - 0003043,Online,WARE-NMK1003,2019-02-04,2019-05-11,2019-06-01,2019-06-08,USD,13,45,196,14,8,0.4,3939.6,1891.008,31516.8,12606.720000000001,18910.079999999998
SO - 0003044,In-Store,WARE-XYS1001,2019-02-04,2019-05-11,2019-05-23,2019-05-28,USD,1,39,55,37,8,0.4,6023.3,2770.7180000000003,48186.4,19274.56,28911.84
SO - 0003045,Online,WARE-NMK1003,2019-02-04,2019-05-11,2019-05-23,2019-05-26,USD,20,27,114,43,8,0.05,194.3,101.03600000000002,1554.4,77.72000000000001,1476.68
SO - 0003046,In-Store,WARE-PUJ1005,2019-02-04,2019-05-11,2019-05-16,2019-05-18,USD,7,19,274,40,4,0.05,5540.900000000001,4709.765,22163.600000000002,1108.18,21055.420000000002
SO - 0003047,Distributor,WARE-PUJ1005,2019-02-04,2019-05-11,2019-05-14,2019-05-15,USD,20,12,320,28,4,0.05,3336.6,2769.378,13346.4,667.32,12679.08
SO - 0003048,In-Store,WARE-UHY1004,2019-02-04,2019-05-11,2019-05-26,2019-05-27,USD,5,28,229,21,1,0.075,1775.5,1065.3,1775.5,133.1625,1642.3375
SO - 0003049,Online,WARE-UHY1004,2019-02-04,2019-05-11,2019-06-08,2019-06-12,USD,18,49,245,21,4,0.1,737.0,501.16,2948.0,294.8,2653.2
SO - 0003050,Online,WARE-UHY1004,2019-02-04,2019-05-11,2019-06-01,2019-06-02,USD,13,3,212,47,1,0.3,227.8,123.012,227.8,68.34,159.46
SO - 0003051,In-Store,WARE-MKL1006,2019-02-04,2019-05-11,2019-06-02,2019-06-04,USD,10,30,335,9,7,0.1,5440.400000000001,2393.7760000000003,38082.8,3808.2800000000007,34274.520000000004
SO - 0003052,Online,WARE-XYS1001,2019-02-04,2019-05-11,2019-05-18,2019-05-24,USD,20,25,58,41,7,0.05,958.1,756.899,6706.7,335.33500000000004,6371.365
SO - 0003053,In-Store,WARE-NMK1003,2019-02-04,2019-05-11,2019-05-21,2019-05-26,USD,1,18,136,44,1,0.15,844.2,354.564,844.2,126.63,717.57
SO - 0003054,Online,WARE-PUJ1005,2019-02-04,2019-05-12,2019-06-02,2019-06-12,USD,18,27,301,24,1,0.05,2318.2000000000003,1182.2820000000002,2318.2000000000003,115.91000000000003,2202.2900000000004
SO - 0003055,Wholesale,WARE-NMK1003,2019-02-04,2019-05-12,2019-05-14,2019-05-15,USD,26,20,146,46,5,0.1,2499.1,1949.298,12495.5,1249.5500000000002,11245.95
SO - 0003056,In-Store,WARE-NMK1003,2019-02-04,2019-05-12,2019-05-31,2019-06-04,USD,1,33,119,38,8,0.05,3932.9,2045.108,31463.2,1573.16,29890.04
SO - 0003057,In-Store,WARE-NMK1003,2019-02-04,2019-05-12,2019-05-22,2019-05-24,USD,10,29,93,22,7,0.15,3510.8,1720.292,24575.600000000002,3686.34,20889.260000000002
SO - 0003058,In-Store,WARE-NMK1003,2019-02-04,2019-05-12,2019-05-24,2019-05-28,USD,3,6,99,9,4,0.075,194.3,163.21200000000002,777.2,58.29,718.9100000000001
SO - 0003059,Distributor,WARE-MKL1006,2019-02-04,2019-05-12,2019-05-29,2019-05-30,USD,23,13,366,14,2,0.15,3946.3,2328.317,7892.6,1183.89,6708.71
SO - 0003060,Wholesale,WARE-MKL1006,2019-02-04,2019-05-12,2019-06-04,2019-06-07,USD,26,19,341,41,6,0.05,1118.9,693.7180000000001,6713.400000000001,335.6700000000001,6377.7300000000005
SO - 0003061,In-Store,WARE-NMK1003,2019-02-04,2019-05-12,2019-06-05,2019-06-10,USD,5,31,170,22,3,0.2,1688.4,1401.372,5065.200000000001,1013.0400000000002,4052.1600000000008
SO - 0003062,Online,WARE-PUJ1005,2019-02-04,2019-05-12,2019-05-19,2019-05-29,USD,13,28,296,41,8,0.2,2291.4,1856.034,18331.2,3666.2400000000002,14664.960000000001
SO - 0003063,In-Store,WARE-XYS1001,2019-02-04,2019-05-13,2019-05-22,2019-06-01,USD,9,28,49,27,6,0.05,1936.3,1123.054,11617.8,580.89,11036.91
SO - 0003064,Online,WARE-NMK1003,2019-02-04,2019-05-13,2019-05-16,2019-05-19,USD,19,47,194,14,5,0.1,1876.0,1106.84,9380.0,938.0,8442.0
SO - 0003065,In-Store,WARE-MKL1006,2019-02-04,2019-05-13,2019-06-06,2019-06-09,USD,10,39,331,27,7,0.075,3658.2,2780.2320000000004,25607.399999999998,1920.5549999999998,23686.844999999998
SO - 0003066,Distributor,WARE-XYS1001,2019-02-04,2019-05-13,2019-05-26,2019-06-05,USD,24,38,14,28,4,0.4,180.9,117.585,723.6,289.44,434.16
SO - 0003067,Online,WARE-XYS1001,2019-02-04,2019-05-13,2019-05-19,2019-05-21,USD,18,3,19,21,6,0.1,1038.5,467.325,6231.0,623.1,5607.9
SO - 0003068,Distributor,WARE-NBV1002,2019-02-04,2019-05-13,2019-05-28,2019-06-03,USD,22,20,68,40,5,0.15,227.8,152.626,1139.0,170.85,968.15
SO - 0003069,In-Store,WARE-MKL1006,2019-02-04,2019-05-13,2019-05-15,2019-05-18,USD,7,48,343,40,4,0.15,1252.9,826.9140000000001,5011.6,751.74,4259.860000000001
SO - 0003070,Distributor,WARE-NBV1002,2019-02-04,2019-05-14,2019-05-19,2019-05-24,USD,22,45,66,15,1,0.075,1246.2,797.5680000000001,1246.2,93.465,1152.7350000000001
SO - 0003071,In-Store,WARE-NBV1002,2019-02-04,2019-05-14,2019-06-02,2019-06-05,USD,7,41,59,42,5,0.2,2271.3,1408.206,11356.5,2271.3,9085.2
SO - 0003072,Distributor,WARE-NMK1003,2019-02-04,2019-05-14,2019-05-24,2019-05-31,USD,21,37,182,47,2,0.2,1721.9,1308.644,3443.8,688.7600000000001,2755.04
SO - 0003073,In-Store,WARE-NMK1003,2019-02-04,2019-05-14,2019-06-08,2019-06-09,USD,4,11,124,6,4,0.1,5045.1,2623.452,20180.4,2018.0400000000002,18162.36
SO - 0003074,Wholesale,WARE-NBV1002,2019-02-04,2019-05-14,2019-06-03,2019-06-12,USD,27,31,77,29,6,0.05,3839.1,3148.062,23034.6,1151.73,21882.87
SO - 0003075,Online,WARE-UHY1004,2019-02-04,2019-05-14,2019-06-01,2019-06-07,USD,18,28,221,42,7,0.05,1058.6,455.198,7410.199999999999,370.51,7039.689999999999
SO - 0003076,In-Store,WARE-PUJ1005,2019-02-04,2019-05-14,2019-05-28,2019-06-01,USD,5,14,312,21,2,0.1,3946.3,3354.355,7892.6,789.2600000000001,7103.34
SO - 0003077,In-Store,WARE-NMK1003,2019-02-04,2019-05-14,2019-05-31,2019-06-01,USD,3,30,188,28,7,0.075,824.1,395.568,5768.7,432.6525,5336.0475
SO - 0003078,Online,WARE-NMK1003,2019-02-04,2019-05-14,2019-06-05,2019-06-07,USD,17,26,89,43,6,0.05,797.3000000000001,645.8130000000001,4783.8,239.19000000000003,4544.610000000001
SO - 0003079,In-Store,WARE-XYS1001,2019-02-04,2019-05-15,2019-06-12,2019-06-14,USD,7,45,29,5,3,0.1,1688.4,827.316,5065.200000000001,506.5200000000001,4558.68
SO - 0003080,In-Store,WARE-MKL1006,2019-02-04,2019-05-15,2019-05-25,2019-05-28,USD,1,19,345,38,3,0.05,1728.6,1175.448,5185.799999999999,259.28999999999996,4926.509999999999
SO - 0003081,Wholesale,WARE-MKL1006,2019-02-04,2019-05-15,2019-05-17,2019-05-19,USD,28,13,341,38,5,0.075,931.3,512.215,4656.5,349.2375,4307.2625
SO - 0003082,Distributor,WARE-NBV1002,2019-02-04,2019-05-15,2019-05-29,2019-05-31,USD,21,50,68,32,6,0.05,2492.4,1520.364,14954.400000000001,747.7200000000001,14206.680000000002
SO - 0003083,In-Store,WARE-MKL1006,2019-02-04,2019-05-15,2019-06-12,2019-06-18,USD,10,11,344,42,5,0.075,1862.6,1303.82,9313.0,698.475,8614.525
SO - 0003084,In-Store,WARE-NMK1003,2019-02-04,2019-05-15,2019-05-19,2019-05-27,USD,7,8,199,24,2,0.05,2003.3,821.353,4006.6,200.33,3806.27
SO - 0003085,Distributor,WARE-PUJ1005,2019-02-04,2019-05-15,2019-05-28,2019-06-05,USD,22,37,303,34,8,0.05,3852.5,1695.1,30820.0,1541.0,29279.0
SO - 0003086,In-Store,WARE-UHY1004,2019-02-04,2019-05-16,2019-05-26,2019-05-31,USD,7,13,228,2,6,0.15,201.0,136.68,1206.0,180.9,1025.1
SO - 0003087,Distributor,WARE-NMK1003,2019-02-04,2019-05-16,2019-05-31,2019-06-04,USD,22,30,182,29,4,0.2,1695.1,915.3540000000002,6780.4,1356.08,5424.32
SO - 0003088,Online,WARE-NMK1003,2019-02-04,2019-05-16,2019-06-01,2019-06-07,USD,19,42,192,3,5,0.075,6445.400000000001,2835.976,32227.000000000004,2417.025,29809.975000000002
SO - 0003089,Distributor,WARE-NBV1002,2019-02-04,2019-05-16,2019-05-19,2019-05-29,USD,24,29,65,8,5,0.075,1085.4,445.014,5427.0,407.025,5019.975
SO - 0003090,In-Store,WARE-MKL1006,2019-02-04,2019-05-16,2019-06-09,2019-06-15,USD,7,25,348,33,3,0.15,1085.4,716.3640000000001,3256.2000000000003,488.43,2767.7700000000004
SO - 0003091,In-Store,WARE-UHY1004,2019-02-04,2019-05-17,2019-05-29,2019-06-06,USD,7,47,226,5,8,0.05,6083.6,3041.8,48668.8,2433.44,46235.36
SO - 0003092,Wholesale,WARE-XYS1001,2019-02-04,2019-05-17,2019-06-14,2019-06-16,USD,27,48,36,23,8,0.05,676.7,345.117,5413.6,270.68,5142.92
SO - 0003093,In-Store,WARE-PUJ1005,2019-02-04,2019-05-17,2019-05-26,2019-06-05,USD,1,6,324,18,1,0.075,2010.0,964.8,2010.0,150.75,1859.25
SO - 0003094,Wholesale,WARE-PUJ1005,2019-02-04,2019-05-17,2019-05-25,2019-06-01,USD,27,25,285,40,8,0.15,2586.2000000000003,1603.4440000000002,20689.600000000002,3103.44,17586.160000000003
SO - 0003095,Online,WARE-NMK1003,2019-02-04,2019-05-17,2019-06-07,2019-06-14,USD,16,23,199,24,1,0.1,850.9,655.193,850.9,85.09,765.81
SO - 0003096,Wholesale,WARE-NMK1003,2019-02-04,2019-05-17,2019-06-13,2019-06-18,USD,27,7,133,47,2,0.3,1976.5,1442.845,3953.0,1185.8999999999999,2767.1000000000004
SO - 0003097,Online,WARE-NBV1002,2019-02-04,2019-05-17,2019-05-21,2019-05-26,USD,13,29,85,1,5,0.05,1179.2,601.392,5896.0,294.8,5601.2
SO - 0003098,Online,WARE-UHY1004,2019-02-04,2019-05-17,2019-06-10,2019-06-19,USD,15,17,205,30,2,0.2,207.7,95.54200000000002,415.4,83.08,332.32
SO - 0003099,Online,WARE-MKL1006,2019-02-04,2019-05-18,2019-06-01,2019-06-08,USD,13,22,353,9,5,0.05,1943.0,1224.09,9715.0,485.75,9229.25
SO - 0003100,In-Store,WARE-XYS1001,2019-02-04,2019-05-18,2019-05-24,2019-05-27,USD,12,45,17,47,1,0.05,3886.0,3108.8,3886.0,194.3,3691.7
SO - 0003101,Distributor,WARE-UHY1004,2019-02-04,2019-05-19,2019-06-16,2019-06-24,USD,24,22,218,11,5,0.075,884.4,512.952,4422.0,331.65,4090.35
SO - 0003102,In-Store,WARE-NMK1003,2019-02-04,2019-05-19,2019-05-21,2019-05-30,USD,11,25,180,34,8,0.2,2599.6,1195.816,20796.8,4159.36,16637.44
SO - 0003103,In-Store,WARE-NMK1003,2019-02-04,2019-05-19,2019-06-06,2019-06-10,USD,6,5,131,4,8,0.4,1695.1,966.207,13560.8,5424.32,8136.48
SO - 0003104,Online,WARE-NMK1003,2019-02-04,2019-05-19,2019-06-15,2019-06-16,USD,18,44,195,10,5,0.1,1112.2,934.248,5561.0,556.1,5004.9
SO - 0003105,In-Store,WARE-NMK1003,2019-02-04,2019-05-19,2019-05-31,2019-06-01,USD,2,47,140,3,3,0.15,5038.400000000001,2267.28,15115.2,2267.28,12847.92
SO - 0003106,Online,WARE-UHY1004,2019-02-04,2019-05-19,2019-05-28,2019-06-06,USD,13,49,238,47,2,0.05,1943.0,874.35,3886.0,194.3,3691.7
SO - 0003107,In-Store,WARE-UHY1004,2019-02-04,2019-05-19,2019-06-02,2019-06-12,USD,5,43,206,9,8,0.05,1688.4,861.0840000000001,13507.2,675.3600000000001,12831.84
SO - 0003108,Online,WARE-XYS1001,2019-02-04,2019-05-19,2019-06-12,2019-06-22,USD,17,5,44,12,3,0.15,1125.6,529.032,3376.7999999999997,506.5199999999999,2870.2799999999997
SO - 0003109,Distributor,WARE-NMK1003,2019-02-04,2019-05-19,2019-06-05,2019-06-07,USD,24,48,92,4,3,0.1,1065.3,575.2620000000001,3195.8999999999996,319.59,2876.3099999999995
SO - 0003110,In-Store,WARE-NMK1003,2019-02-04,2019-05-20,2019-05-27,2019-05-30,USD,2,50,140,39,4,0.05,964.8,569.232,3859.2,192.96,3666.24
SO - 0003111,Online,WARE-UHY1004,2019-02-04,2019-05-20,2019-06-05,2019-06-13,USD,18,38,221,16,1,0.3,1065.3,873.5459999999999,1065.3,319.59,745.71
SO - 0003112,Online,WARE-NMK1003,2019-02-04,2019-05-20,2019-06-08,2019-06-15,USD,13,38,202,9,8,0.075,1098.8,769.16,8790.4,659.28,8131.12
SO - 0003113,Distributor,WARE-UHY1004,2019-02-04,2019-05-20,2019-06-12,2019-06-19,USD,24,5,204,14,8,0.075,1802.3,1297.656,14418.4,1081.3799999999999,13337.02
SO - 0003114,Distributor,WARE-MKL1006,2019-02-04,2019-05-20,2019-06-17,2019-06-27,USD,24,29,345,11,3,0.075,254.6,206.226,763.8,57.285,706.515
SO - 0003115,In-Store,WARE-PUJ1005,2019-02-04,2019-05-20,2019-06-15,2019-06-24,USD,3,11,283,9,2,0.1,1996.6,1397.62,3993.2,399.32,3593.8799999999997
SO - 0003116,Distributor,WARE-PUJ1005,2019-02-04,2019-05-20,2019-06-10,2019-06-11,USD,22,48,278,30,1,0.1,1058.6,476.37000000000006,1058.6,105.86,952.7399999999999
SO - 0003117,Wholesale,WARE-XYS1001,2019-02-04,2019-05-20,2019-06-17,2019-06-25,USD,25,49,16,13,4,0.1,6438.7,4120.768,25754.8,2575.48,23179.32
SO - 0003118,Wholesale,WARE-NMK1003,2019-02-04,2019-05-20,2019-06-15,2019-06-16,USD,26,36,142,28,3,0.1,3946.3,3354.355,11838.900000000001,1183.89,10655.010000000002
SO - 0003119,Online,WARE-MKL1006,2019-02-04,2019-05-20,2019-05-31,2019-06-01,USD,16,45,349,23,2,0.15,1112.2,444.88000000000005,2224.4,333.66,1890.74
SO - 0003120,Online,WARE-MKL1006,2019-02-04,2019-05-20,2019-05-29,2019-06-01,USD,20,1,330,40,6,0.05,1165.8,722.7959999999999,6994.799999999999,349.74,6645.0599999999995
SO - 0003121,Online,WARE-PUJ1005,2019-02-04,2019-05-20,2019-06-11,2019-06-13,USD,14,40,300,26,7,0.1,1172.5,656.6,8207.5,820.75,7386.75
SO - 0003122,In-Store,WARE-PUJ1005,2019-02-04,2019-05-21,2019-06-09,2019-06-12,USD,9,25,265,17,5,0.1,1983.2,1685.72,9916.0,991.6,8924.4
SO - 0003123,In-Store,WARE-NBV1002,2019-02-04,2019-05-21,2019-06-11,2019-06-14,USD,5,48,76,31,5,0.4,5313.1,4091.087,26565.5,10626.2,15939.3
SO - 0003124,Distributor,WARE-UHY1004,2019-02-04,2019-05-21,2019-05-27,2019-05-30,USD,24,36,221,10,4,0.075,3832.4,2989.2720000000004,15329.6,1149.72,14179.880000000001
SO - 0003125,Online,WARE-NMK1003,2019-02-04,2019-05-21,2019-05-28,2019-06-07,USD,16,12,199,11,8,0.05,2592.9,1348.308,20743.2,1037.16,19706.04
SO - 0003126,Distributor,WARE-NMK1003,2019-02-04,2019-05-21,2019-06-07,2019-06-12,USD,21,39,102,11,1,0.2,2941.3,2176.562,2941.3,588.2600000000001,2353.04
SO - 0003127,In-Store,WARE-UHY1004,2019-02-04,2019-05-21,2019-06-04,2019-06-07,USD,2,27,219,21,4,0.3,4006.6,2444.026,16026.4,4807.92,11218.48
SO - 0003128,Online,WARE-NMK1003,2019-02-04,2019-05-21,2019-05-27,2019-05-31,USD,19,1,186,45,8,0.075,991.6,664.3720000000001,7932.8,594.96,7337.84
SO - 0003129,Online,WARE-PUJ1005,2019-02-04,2019-05-22,2019-06-10,2019-06-14,USD,16,25,324,46,3,0.075,857.6,428.8,2572.8,192.96,2379.84
SO - 0003130,Online,WARE-NMK1003,2019-02-04,2019-05-22,2019-06-15,2019-06-16,USD,15,40,134,19,8,0.1,1835.8,1009.69,14686.4,1468.64,13217.76
SO - 0003131,Online,WARE-NMK1003,2019-02-04,2019-05-22,2019-06-13,2019-06-17,USD,20,20,94,2,5,0.075,1916.2,1073.072,9581.0,718.5749999999999,8862.425
SO - 0003132,In-Store,WARE-MKL1006,2019-02-04,2019-05-22,2019-05-24,2019-06-01,USD,3,47,367,4,1,0.075,1112.2,456.002,1112.2,83.415,1028.785
SO - 0003133,Online,WARE-NBV1002,2019-02-04,2019-05-22,2019-06-09,2019-06-14,USD,17,29,81,47,3,0.05,3946.3,2999.188,11838.900000000001,591.945,11246.955000000002
SO - 0003134,Distributor,WARE-XYS1001,2019-02-04,2019-05-22,2019-06-12,2019-06-15,USD,21,16,57,9,2,0.15,2311.5,1271.325,4623.0,693.4499999999999,3929.55
SO - 0003135,In-Store,WARE-PUJ1005,2019-02-04,2019-05-22,2019-06-17,2019-06-20,USD,1,45,271,13,6,0.4,6405.2,4803.9,38431.2,15372.48,23058.719999999998
SO - 0003136,In-Store,WARE-NMK1003,2019-02-04,2019-05-22,2019-06-12,2019-06-17,USD,6,34,94,31,6,0.05,1876.0,1557.08,11256.0,562.8000000000001,10693.2
SO - 0003137,In-Store,WARE-UHY1004,2019-02-04,2019-05-22,2019-06-02,2019-06-04,USD,4,47,220,27,7,0.075,3993.2,3154.628,27952.399999999998,2096.43,25855.969999999998
SO - 0003138,Distributor,WARE-PUJ1005,2019-02-04,2019-05-22,2019-05-24,2019-05-26,USD,23,38,303,41,6,0.05,917.9,761.857,5507.4,275.37,5232.03
SO - 0003139,In-Store,WARE-UHY1004,2019-02-04,2019-05-22,2019-05-28,2019-06-05,USD,8,10,210,11,7,0.05,3591.2000000000003,2729.3120000000004,25138.4,1256.92,23881.480000000003
SO - 0003140,Online,WARE-NMK1003,2019-02-04,2019-05-22,2019-06-03,2019-06-08,USD,14,1,181,5,4,0.1,2492.4,1694.832,9969.6,996.96,8972.64
SO - 0003141,Online,WARE-MKL1006,2019-02-04,2019-05-23,2019-06-02,2019-06-06,USD,15,14,342,30,4,0.05,1025.1,850.8330000000001,4100.4,205.01999999999998,3895.3799999999997
SO - 0003142,In-Store,WARE-MKL1006,2019-02-04,2019-05-23,2019-06-01,2019-06-05,USD,2,43,346,34,8,0.075,2271.3,1635.336,18170.4,1362.78,16807.620000000003
SO - 0003143,Online,WARE-XYS1001,2019-02-04,2019-05-23,2019-05-25,2019-05-30,USD,20,39,37,40,8,0.1,174.20000000000002,118.45600000000002,1393.6000000000001,139.36,1254.2400000000002
SO - 0003144,In-Store,WARE-NMK1003,2019-02-04,2019-05-23,2019-05-27,2019-05-30,USD,3,49,178,2,4,0.1,750.4,630.336,3001.6,300.16,2701.44
SO - 0003145,In-Store,WARE-NMK1003,2019-02-04,2019-05-23,2019-05-25,2019-05-29,USD,6,32,167,32,2,0.05,1889.4,1209.216,3778.8,188.94000000000003,3589.86
SO - 0003146,Online,WARE-XYS1001,2019-02-04,2019-05-23,2019-06-02,2019-06-10,USD,19,16,45,16,8,0.075,5983.1,3111.2120000000004,47864.8,3589.86,44274.94
SO - 0003147,Wholesale,WARE-UHY1004,2019-02-04,2019-05-23,2019-06-05,2019-06-10,USD,26,50,208,5,4,0.075,241.2,108.54,964.8,72.36,892.4399999999999
SO - 0003148,In-Store,WARE-NMK1003,2019-02-04,2019-05-23,2019-06-01,2019-06-04,USD,11,34,122,9,5,0.05,2512.5,1080.375,12562.5,628.125,11934.375
SO - 0003149,Wholesale,WARE-NMK1003,2019-02-04,2019-05-24,2019-06-05,2019-06-15,USD,26,35,157,39,6,0.15,984.9,699.279,5909.4,886.41,5022.99
SO - 0003150,In-Store,WARE-MKL1006,2019-02-04,2019-05-24,2019-05-31,2019-06-03,USD,3,46,329,14,4,0.05,2847.5,1822.4,11390.0,569.5,10820.5
SO - 0003151,In-Store,WARE-NMK1003,2019-02-04,2019-05-24,2019-06-18,2019-06-27,USD,3,9,155,7,1,0.15,1005.0,603.0,1005.0,150.75,854.25
SO - 0003152,Distributor,WARE-NMK1003,2019-02-04,2019-05-24,2019-05-27,2019-06-02,USD,21,25,177,26,7,0.1,2338.3,1894.0230000000004,16368.100000000002,1636.8100000000004,14731.29
SO - 0003153,In-Store,WARE-XYS1001,2019-02-04,2019-05-24,2019-06-06,2019-06-09,USD,7,19,31,19,2,0.05,6170.7,5121.681,12341.4,617.07,11724.33
SO - 0003154,In-Store,WARE-PUJ1005,2019-02-04,2019-05-24,2019-06-09,2019-06-11,USD,6,34,319,41,1,0.1,2465.6,1972.48,2465.6,246.56,2219.04
SO - 0003155,Distributor,WARE-MKL1006,2019-02-04,2019-05-24,2019-05-27,2019-05-28,USD,22,38,339,44,7,0.05,2385.2000000000003,1240.304,16696.4,834.8200000000002,15861.580000000002
SO - 0003156,Distributor,WARE-MKL1006,2019-02-04,2019-05-24,2019-06-09,2019-06-14,USD,22,24,359,44,4,0.05,1045.2,470.34,4180.8,209.04000000000002,3971.76
SO - 0003157,In-Store,WARE-PUJ1005,2019-02-04,2019-05-24,2019-06-20,2019-06-23,USD,7,33,310,15,6,0.05,2566.1,1616.643,15396.599999999999,769.8299999999999,14626.769999999999
SO - 0003158,In-Store,WARE-XYS1001,2019-02-04,2019-05-24,2019-06-16,2019-06-22,USD,8,23,36,9,4,0.1,2559.4,1970.738,10237.6,1023.7600000000001,9213.84
SO - 0003159,Online,WARE-MKL1006,2019-02-04,2019-05-25,2019-05-28,2019-06-03,USD,18,36,350,42,2,0.05,3363.4,2657.086,6726.8,336.34000000000003,6390.46
SO - 0003160,Online,WARE-MKL1006,2019-02-04,2019-05-25,2019-06-13,2019-06-14,USD,13,46,363,26,2,0.05,1078.7,647.22,2157.4,107.87,2049.53
SO - 0003161,Online,WARE-PUJ1005,2019-02-04,2019-05-25,2019-05-29,2019-06-06,USD,19,34,279,11,6,0.1,5929.5,3913.47,35577.0,3557.7000000000003,32019.3
SO - 0003162,Online,WARE-PUJ1005,2019-02-04,2019-05-25,2019-06-06,2019-06-11,USD,20,35,273,25,4,0.075,1909.5,1451.22,7638.0,572.85,7065.15
SO - 0003163,Online,WARE-XYS1001,2019-02-04,2019-05-25,2019-05-30,2019-05-31,USD,18,17,34,47,4,0.3,1098.8,780.1479999999999,4395.2,1318.56,3076.64
SO - 0003164,Wholesale,WARE-UHY1004,2019-02-04,2019-05-25,2019-06-22,2019-06-23,USD,27,14,212,3,5,0.075,884.4,353.76,4422.0,331.65,4090.35
SO - 0003165,In-Store,WARE-NBV1002,2019-02-04,2019-05-25,2019-06-11,2019-06-17,USD,2,2,79,21,5,0.15,1051.9,420.7600000000001,5259.5,788.925,4470.575
SO - 0003166,In-Store,WARE-MKL1006,2019-02-04,2019-05-25,2019-06-09,2019-06-16,USD,10,20,351,43,8,0.15,864.3000000000001,449.436,6914.400000000001,1037.16,5877.240000000001
SO - 0003167,Online,WARE-MKL1006,2019-02-04,2019-05-25,2019-06-03,2019-06-10,USD,14,6,353,1,2,0.05,2619.7000000000003,1231.259,5239.400000000001,261.97,4977.43
SO - 0003168,In-Store,WARE-UHY1004,2019-02-04,2019-05-25,2019-06-12,2019-06-14,USD,4,21,259,35,3,0.15,6123.8,2816.9480000000003,18371.4,2755.71,15615.690000000002
SO - 0003169,In-Store,WARE-PUJ1005,2019-02-04,2019-05-26,2019-06-11,2019-06-18,USD,10,19,328,22,6,0.05,247.9,123.95,1487.4,74.37,1413.0300000000002
SO - 0003170,Wholesale,WARE-XYS1001,2019-02-04,2019-05-26,2019-05-28,2019-05-31,USD,28,23,5,44,6,0.4,1969.8,827.3159999999999,11818.8,4727.5199999999995,7091.28
SO - 0003171,In-Store,WARE-PUJ1005,2019-02-04,2019-05-26,2019-06-18,2019-06-21,USD,8,1,288,1,1,0.3,3966.4,2816.144,3966.4,1189.92,2776.48
SO - 0003172,Wholesale,WARE-NMK1003,2019-02-04,2019-05-26,2019-06-18,2019-06-20,USD,28,41,183,43,3,0.075,2472.3,1211.427,7416.900000000001,556.2675,6860.632500000001
SO - 0003173,Online,WARE-MKL1006,2019-02-04,2019-05-26,2019-06-13,2019-06-18,USD,17,11,352,27,7,0.1,3470.6,1943.536,24294.2,2429.42,21864.78
SO - 0003174,Wholesale,WARE-PUJ1005,2019-02-04,2019-05-26,2019-06-11,2019-06-15,USD,27,6,262,37,3,0.05,6150.6,4920.4800000000005,18451.800000000003,922.5900000000001,17529.210000000003
SO - 0003175,In-Store,WARE-NBV1002,2019-02-04,2019-05-26,2019-06-16,2019-06-19,USD,6,41,85,7,2,0.05,2284.7000000000003,1804.913,4569.400000000001,228.47000000000003,4340.93
